,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,PPG
0,Markelle Fultz,UW,25,35.7,8.4,17.6,.476,2.1,2.1,.413,4.4,6.7,.649,1.3,4.4,5.7,5.9,1.6,1.2,23.2
1,Alec Peters,VAL,29,35.1,7.5,16.1,.466,2.0,2.0,.362,5.9,6.7,.887,2.6,7.6,10.1,2.2,0.8,0.4,23.0
2,Malik Monk,UK,38,32.1,6.6,14.7,.450,2.7,2.7,.397,3.9,4.7,.822,0.3,2.2,2.5,2.3,0.9,0.5,19.8
3,Luke Kennard,DUKE,37,35.5,6.4,13.1,.490,2.4,2.4,.438,4.3,5.1,.856,1.2,3.9,5.1,2.5,0.8,0.4,19.5
4,Trevon Bluiett,XAV,36,35.1,5.9,13.4,.439,2.5,2.5,.373,4.2,5.5,.754,0.7,4.9,5.7,2.1,0.9,0.1,18.5
5,Justin Jackson,UNC,38,31.7,6.6,14.8,.447,2.7,2.7,.380,2.3,3.2,.733,1.4,3.3,4.7,2.8,0.7,0.2,18.2
6,Marcus Foster,CU,35,30.9,7.0,15.2,.461,2.1,2.1,.341,2.1,3.1,.701,0.3,2.6,2.9,2.4,0.6,0.1,18.2
7,Dennis Smith,NCST,32,34.8,6.0,13.1,.455,1.7,1.7,.359,4.5,6.2,.715,0.8,3.8,4.6,6.2,1.9,0.4,18.1
8,Jaron Blossomgame,CLEM,33,34.3,6.7,13.4,.499,0.7,0.7,.255,3.6,5.1,.714,1.8,4.5,6.3,1.5,0.8,0.9,17.7
9,Johnathan Motley,BU,34,30.2,6.6,12.7,.522,0.3,0.3,.281,3.8,5.4,.699,3.7,6.1,9.9,2.3,0.4,1.1,17.3
10,Allonzo Trier,U of A,18,31.9,5.1,11.0,.460,1.9,1.9,.391,5.2,6.4,.810,0.3,5.1,5.3,2.7,0.4,0.1,17.2
11,Miles Bridges,MSU,28,32.0,6.3,13.0,.486,2.0,2.0,.389,2.2,3.3,.685,1.5,6.8,8.3,2.1,0.7,1.5,16.9
12,Melo Trimble,UMD,33,32.1,5.5,12.5,.436,1.8,1.8,.317,4.2,5.3,.789,0.3,3.3,3.6,3.7,1.1,0.2,16.8
13,Jayson Tatum,DUKE,29,33.3,5.7,12.6,.451,1.4,1.4,.342,4.1,4.8,.849,1.3,6.0,7.3,2.1,1.3,1.1,16.8
14,De'Aaron Fox,UK,36,29.6,5.9,12.4,.479,0.5,0.5,.246,4.3,5.9,.736,0.6,3.4,4.0,4.6,1.5,0.2,16.7
15,Monte Morris,ISU,35,35.3,6.2,13.3,.465,1.5,1.5,.378,2.5,3.2,.802,1.1,3.7,4.8,6.2,1.5,0.3,16.4
16,Josh Jackson,KU,35,30.8,6.3,12.3,.513,1.0,1.0,.378,2.8,4.9,.566,2.3,5.1,7.4,3.0,1.7,1.1,16.3
17,Dillon Brooks,UO,34,25.1,6.0,12.1,.496,1.7,1.7,.410,2.6,3.5,.742,1.0,2.1,3.1,2.8,1.1,0.4,16.3
18,Cameron Oliver,UNR,35,31.9,5.8,12.4,.465,1.9,1.9,.384,2.6,3.7,.692,1.6,7.1,8.7,1.8,0.8,2.6,16.0
19,Bennie Boatwright,USC,19,27.6,4.5,10.6,.428,2.5,2.5,.364,3.6,3.9,.907,1.5,3.0,4.5,1.7,0.4,0.4,15.1
20,E.C. Matthews,URI,35,29.3,4.9,11.5,.427,1.8,1.8,.337,3.2,4.4,.727,0.7,3.7,4.3,1.4,0.5,0.3,14.9
21,Lonzo Ball,UCLA,36,35.1,5.2,9.5,.551,2.2,2.2,.412,1.8,2.7,.673,0.9,5.1,6.0,7.6,1.8,0.8,14.6
22,V.J. Beachem,ND,36,34.2,5.2,12.3,.422,2.4,2.4,.361,1.7,2.0,.836,0.6,3.4,4.1,0.9,0.9,1.1,14.5
23,Grayson Allen,DUKE,34,29.6,4.1,10.5,.395,2.4,2.4,.365,3.8,4.7,.811,0.7,3.1,3.7,3.5,0.8,0.1,14.5
24,Jabari Bird,Cal,27,32.0,5.2,11.8,.439,2.4,2.4,.363,1.6,2.0,.764,1.0,3.7,4.7,1.0,0.7,0.2,14.3
25,Ivan Rabb,Cal,31,32.6,4.9,10.1,.484,0.3,0.3,.400,4.0,6.0,.663,3.0,7.4,10.5,1.5,0.7,1.0,14.0
26,Nigel Hayes,UW,37,32.4,4.9,10.6,.457,0.6,0.6,.314,3.6,6.2,.587,2.2,4.4,6.6,2.7,0.8,0.4,14.0
27,Matthew Fisher-Davis,VU,34,27.9,4.3,10.6,.404,2.5,2.5,.372,2.9,3.6,.810,0.3,2.9,3.2,1.0,0.6,0.2,13.9
28,Rodney Purvis,UConn,33,36.9,4.6,12.3,.372,2.3,2.3,.341,2.3,2.9,.811,0.4,3.8,4.2,2.5,1.0,0.2,13.8
29,Edmond Sumner,XAV,23,30.3,4.4,9.2,.479,0.5,0.5,.273,4.3,5.9,.735,0.5,3.5,4.0,4.6,1.2,0.7,13.7
30,Justin Tuoyo,UTC,31,28.9,5.0,7.8,.645,0.3,0.3,.400,3.3,4.9,.671,2.4,4.2,6.6,1.1,0.7,2.9,13.6
31,Hassan Martin,URI,30,26.1,5.5,9.3,.594,0.0,0.0,.250,2.6,3.9,.658,2.1,4.7,6.8,0.7,0.7,2.4,13.6
32,Terry Larrier,UConn,4,26.5,5.2,10.8,.488,1.0,1.0,.308,2.0,3.2,.615,1.5,3.5,5.0,1.8,0.2,0.5,13.5
33,Luke Kornet,VU,35,31.5,4.1,10.2,.406,1.5,1.5,.327,3.4,4.0,.857,1.5,4.7,6.2,1.2,0.5,2.0,13.2
34,Tyler Lydon,SU,34,36.1,4.4,9.4,.472,1.4,1.4,.392,2.9,3.4,.836,2.3,6.3,8.6,2.1,1.0,1.4,13.2
35,Bam Adebayo,UK,38,30.2,4.5,7.5,.599,0.0,0.0,.000,4.1,6.2,.653,3.1,4.9,8.0,0.8,0.7,1.5,13.0
36,Thomas Bryant,IU,34,28.1,4.4,8.4,.519,0.7,0.7,.383,3.2,4.4,.730,2.2,4.4,6.6,1.5,0.8,1.5,12.6
37,Deng Adel,U of L,33,30.1,4.3,10.1,.423,1.3,1.3,.349,2.2,2.9,.771,0.7,3.8,4.5,2.1,0.6,0.4,12.1
38,Isaiah Hicks,UNC,37,23.2,4.5,7.6,.596,0.0,0.0,.000,3.0,3.8,.786,1.9,3.6,5.4,1.4,0.4,0.7,12.1
39,Moses Kingsley,U of A,36,27.7,4.1,8.9,.467,0.2,0.2,.438,3.6,4.7,.757,2.2,5.5,7.7,1.3,0.6,2.6,12.0
40,Jonathan Isaac,FSU,32,26.2,4.1,8.0,.508,1.0,1.0,.348,2.9,3.7,.780,1.8,6.1,7.8,1.2,1.2,1.5,12.0
41,D.J. Hogg,TAMU,22,29.6,4.4,11.1,.398,2.0,2.0,.367,1.1,2.0,.568,1.3,3.8,5.1,3.4,1.0,1.0,12.0
42,Chris Boucher,UO,31,23.5,4.5,8.7,.524,1.2,1.2,.350,1.5,2.7,.565,1.7,4.3,6.1,0.4,0.4,2.5,11.8
43,Ogugua Anunoby,IU,16,25.1,4.2,7.6,.557,0.9,0.9,.311,1.7,3.0,.562,1.8,3.7,5.4,1.4,1.3,1.3,11.1
44,Austin Nichols,UVA,1,16.0,4.0,7.0,.571,0.0,0.0,.000,3.0,3.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,11.0
45,Malik Pope,SDSU,24,25.9,4.0,8.8,.453,0.8,0.8,.392,2.2,3.1,.703,1.8,4.4,6.1,1.5,0.8,1.0,11.0
46,Luke Fischer,MU,32,24.0,4.7,7.2,.647,0.0,0.0,.000,1.6,2.7,.588,2.6,3.3,5.9,1.2,0.6,1.7,10.9
47,Rawle Alkins,U of A,37,28.0,3.9,8.4,.463,1.2,1.2,.370,2.0,2.7,.733,1.5,3.4,4.9,2.1,0.9,0.5,10.9
48,Jordan Bell,UO,38,28.6,4.4,6.9,.634,0.1,0.1,.214,2.1,2.9,.705,2.8,5.7,8.6,1.8,1.3,2.2,10.9
49,Alberto Abalde,JOV,25,23.7,3.9,8.8,.441,0.9,0.9,.310,1.4,2.0,.686,0.9,2.5,3.4,1.8,0.8,0.1,10.0
50,Amida Brimah,UConn,33,24.7,2.7,4.8,.573,0.0,0.0,.000,2.2,3.5,.623,2.0,4.1,6.1,0.2,0.2,2.6,7.6
51,Lagerald Vick,KU,36,24.4,2.7,6.1,.443,0.9,0.9,.370,1.1,1.3,.826,1.0,2.5,3.5,0.9,0.6,0.4,7.4
52,Vitto Brown,UW,37,21.0,2.5,6.2,.398,1.2,1.2,.319,0.7,0.9,.758,1.3,2.6,3.9,1.0,0.5,0.4,6.8
53,Frank Ntilikina,STR,37,17.3,2.1,4.4,.476,0.8,0.8,.411,0.6,1.0,.667,0.6,1.2,1.8,1.4,0.7,0.2,5.7
54,Tyler Roberson,SU,34,20.4,2.3,4.0,.566,0.0,0.0,.000,0.7,1.6,.446,1.9,3.0,4.9,0.9,0.5,0.8,5.3
55,Terrance Ferguson,ADE,30,15.2,1.8,4.6,.381,0.7,0.7,.313,0.4,0.7,.600,0.5,0.7,1.1,0.6,0.2,0.3,4.6
56,Harry Giles,DUKE,26,11.5,1.7,3.0,.577,0.0,0.0,.000,0.5,0.9,.500,1.6,2.3,3.8,0.3,0.3,0.7,3.9
57,Isaiah Hartenstein,ZAL,22,12.1,1.2,2.8,.435,0.3,0.3,.304,1.0,1.4,.710,0.8,2.5,3.3,0.5,0.7,0.6,3.8
58,Michael Fusek,SPI,23,7.3,1.0,1.5,.706,0.0,0.0,.000,0.2,0.3,.667,0.6,1.0,1.6,0.2,0.1,0.8,2.3
59,Marques Bolden,DUKE,24,6.5,0.7,1.5,.457,0.0,0.0,.000,0.2,0.3,.625,0.6,0.5,1.1,0.1,0.1,0.3,1.5
